COMPOUND_ID,SMILES,pIC50,source,MW,LogP,HBD,HBA,TPSA,RotBonds
MMV665809,Oc1ccc(Br)cc1CN1CCN(Cc2ccc(Cl)cc2)CC1,,MMV,394.04,4.13,1,3,26.71,4
MMV665810,O=C(Nc1cccc(C2=NCCN2)c1)Nc1cccc(C2=NCCN2)c1,6.0,MMV,348.17,2.03,4,5,89.91,4
MMV665927,O=C(CCl)NCCOc1ccc(Cl)cc1Cl,6.26,MMV,280.98,2.73,1,2,38.33,5
MMV667486,CCOc1ccc(N2C(N)=NC(N)=NC2(C)C)cc1,,MMV,261.16,1.27,2,6,89.23,3
MMV667488,COc1ccc(CCn2c(=N)c(C(=O)NCc3cccnc3)cc3c(=O)n4cccc(C)c4nc32)cc1,6.43,MMV,494.21,3.01,2,8,114.37,7
MMV006825,COc1ccc(Nc2cc(C)nc(NCc3ccccc3)n2)cc1,6.33,MMV,320.16,4.15,2,5,59.07,6
MMV009085,O=C1c2ccc3c4c(ccc(c24)C(=O)N1CCCCO)C(=O)N(CCCCO)C3=O,6.1,MMV,410.15,1.58,2,6,115.22,8
MMV007591,COc1ccc(C(=O)C(CCC(CNC(C)(C)C)C(=O)c2ccc(OC)cc2)CNC(C)(C)C)cc1,,MMV,496.33,5.56,2,6,76.66,13
MMV128432,COc1cc(CNCCc2ccc(Cl)cc2)cc(OC)c1O,5.75,MMV,321.11,3.4,2,4,50.72,7
MMV665852,O=C(Nc1ccc(Cl)c(Cl)c1)Nc1ccc(Cl)c(Cl)c1,5.94,MMV,347.94,5.94,2,1,41.13,2
MMV396717,COc1ccc(CCN2C(=O)c3[nH]nc(-c4cc(Cl)c(C)cc4O)c3C2c2ccccc2F)cc1,6.04,MMV,491.14,5.68,2,4,78.45,6
MMV638723,Nc1ccn(C2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,6.41,MMV,243.09,-2.56,4,8,130.83,2
MMV396594,COc1ccc(-c2nc(N3CCN(C(=O)C4CCCCC4)CC3)c3c4c(sc3n2)CCCC4)cc1,5.97,MMV,490.24,5.47,0,6,58.56,4
MMV396665,COc1cc(C(=O)Nc2nc3c(cc4c5c(cccc53)CC4)s2)cc(OC)c1OC,6.05,MMV,420.11,4.83,1,6,69.68,5
MMV396723,N=c1n(CCN2CCCCC2)c2ccccc2n1CC(=O)c1ccc(Cl)c(Cl)c1,5.91,MMV,430.13,4.6,1,5,54.02,6
MMV007654,Cc1ccc(C)c(-c2csc(Nc3ccc(C)c(C)c3)n2)c1,,MMV,308.13,5.79,1,3,24.92,3
MMV011832,Oc1ccc2ccccc2c1CNc1nc2ccccc2[nH]1,6.19,MMV,289.12,4.03,3,3,60.94,3
MMV020750,COc1cc(-c2nc(-c3ccccc3)c(-c3ccccc3)[nH]2)cc(OC)c1O,5.93,MMV,372.15,5.13,2,4,67.37,5
